ASIN,Manufacturer,Product Description,Description
B0BSH4H4DB,AcefourAccessoriesPvt.Ltd.,"Standout in sustainable fashion with uppercase—India’s 1st GRS-certified bags brand. We are an environmentally sensitive brand of Travel Gear for the young with a taste for things that don’t just help them look or feel good but also do good. And it's ready to get working and go places with you.  Stylish and sturdy yet lightweight, the uppercase day backpack is made with premium quality robust material with sturdy stitching, it offers a little extra than what you need for your school essentials.  This 19L anti-theft laptop backpack promises durability, robustness, and reliability. It successfully goes through the tear test, break test, and 2000 jolt test before it reaches you.                                                                                                                                                                                         Strength & Safety  This durable bag features a smooth inner surface and a wrinkle-free, sturdy outer that stays upright.  Storage & Organisation  Designed for your convenience, this bag has a front zipper pocket, a side bottle pocket, and a tablet sleeve for better organization.  Anti-Theft Laptop Compartment  It is designed with a 15.6"" laptop compartment and comfortable air mesh padding to keep you going.  Designed for good - A Promise of Sustainable and Ethical Production Choose uppercase for sustainable bags that don't compromise on quality. Our school backpack is made with premium recycled material and is GRS-certified for sustainability, making it a stylish step towards sustainability.","Care Instructions: Wipe with Damp Cloth   Fit Type: regular   Handcrafted with care and made up of premium quality robust material   Padded anti-theft laptop compartment fits up to 15.6"" Laptop and a tablet compartment; Zipper Pocket in front along with a slip In Pocket in front; Internal Organisers with a bottle holder on the side   Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Comfortable Padded shoulder straps   GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty"
B0BWNBQXDZ,AcefourAccessoriesPvt.Ltd.,,"Care Instructions: Wipe with Damp Cloth   Handcrafted with care and made up of premium quality robust material   Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side   Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket   GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty"
B084JGJ8PF,"Wesley,LonganiTradingCompany,F-82,Sector-1,BawanaIndustrialArea,Delhi-110039","With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!  Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.  Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.  The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.  Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.  It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back.  Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials.","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.   Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.   Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.   Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks   1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty   Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction."
B07CJCGM1M,Samsonite,,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No   Outer Material: Polyester, Color: Black   Water Resistance: Water resistant , not Waterproof   Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters   Number of Wheels: 0, Number of compartments: 3   Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of   Mesh pockets on both sides to accommodate your sipper or bottle and umbrella   Mesh Padding on back & shoulder strap to provide comfort & better back support"
B07M9BRCQ5,FurJaden,"The presence of artificial leather material in this smart duffle bag makes it tough and durable. The fabric is durable and long lasting.  The textured PU Leather Fabric is water resistant in nature which means any small splashes and your items inside the bag will still be safe. However, we recommend you to be careful during heavy rain as the zips are never 100% waterproof and thus extra caution is recommended.  This stylish backpack has been crafted with a special focus on the looks as well. The visually appealing appearance of the product can fit into any occasion without much adjustment.                                                                                                                                                                                         With a huge compartment in this bag, the user can have ample space for storage. The large compartment is suitable for 3 to 4 days weekender or business trip. It can also be used as a carry-on flight bag as well.  The traditional zipper closure remains a constant as well. This can give the user with an easy access to the contents inside during need. The smooth zipper operation adds a sense of convenience into the overall user experience.  There are two padded grab handles and a single long strap present in the bag for carrying. The user can use either of the two options as per the convenience. This flexibility is another highlight of the product.","MATERIAL - We use of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.   Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.   Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment   Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.   Warranty - Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects   Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects"
B098QFF5TJ,Wesley,Featuring multiple spacious compartments and functional pockets that are easy to access and will allow you to properly organize your backpack.  The side pockets are designed to hold small items and they are made with durable mesh that can expand to secure various sizes of water bottles and compact umbrellas.                                                                                                                                                                                         This backpack is made with lightweight material and this water-resistant fabric makes it easier for you to carry anywhere. A perfect backpack for all your travels!  Enhanced with durable and quality zippers that will last longer and will not break easily with regular use.,"Care Instructions: Hand Wash Only   Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessories   CAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problem   FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult   COMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.   12 Months Limited Brand Warranty"
B08R7RPVJF,"Lenovo,#43/3,MaruthiMandira,ArisinaKunta,NexttoHolidayPlamHotel,Nelamangala,Bangalore562123,India",,"Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort   Smooth zippers that never jam or break   Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use   Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials   The padded shoulder straps, handle, and back panel provides protection and all-day comfort."
B09VCLZ3K4,AmazingBags,"This backpack is a perfect companion for daily commutes, business trips, college, meetings, travel, hiking, weekend getaways, and more. When flying, it can be conveniently carried on board and easily stowed under the seat. Its stylish, minimalist, and timeless design makes it a highly coveted choice. It serves as an ideal gift for your spouse, parents, friends, and beyond.                                                                                                                                                                                         Sturdy Laptop Backpack has One Separate Laptop Compartment for iPad, MacBook, Laptop (Size Up to 17.3 inch) and Other Electronic Devices, Make Your Items Organized and Safe.  The Extra Large College Backpack is Your Back to College Essentials. Perfect for Classrooms, College Students, High School Students, Teachers, and Outdoor Activities.  Perfect for Occasional International Travel / Weekend Short Trip Getaways / Airplane Travel / Outdoor Hiking Camping Backpack for Men and Women.","Fit Type: regular   This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.   Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.   Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.   Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.   FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc"
B097JH4V5G,Safari,"Safari Omega is a multi-purpose 2 compartment spacious laptop backpack suitable for office, travel, school. It comes with 2 front pockets and an organizer. The compression straps make your travelling comfortable by restricting the movement of items inside the backpack. It also comes with a rain cover ensuring protection throughout the year. Reflective strips will provide assistance during night travel. All in all it's a fully packed product that caters to all your daily travel needs.","2 spacious compartments with 2 front pockets and an organizer compartment   Padded Laptop compartment   Rain cover   Compression straps and reflective strips for better travelling experience   Bottle and umbrella holder pockets, Padded shoulder straps"
B0BJ32LQ6X,AmazingBags,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.                                                                                                                                                                                         This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,  This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.  This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.                                                                                                                                                                                         This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.  Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.  Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible.","Care Instructions: Hand Wash Only   Fit Type: regular   This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.   Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.   Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.   Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.   FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc"
